Id	Protocol	Role	Request Type	Peer Address	Peer Port	Local Address	Local Port	Processing Timeout	Keep Alive Timeout	Connection Time	NI Handle
31/243015	HTTPS	Server	READ_REQUEST	10.2.48.57	60876	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:09:43	287
10/243014	HTTPS	Server	READ_REQUEST	10.1.32.150	50947	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:09:36	1152
52/242979	HTTPS	Server	READ_REQUEST	193.52.216.130	19651	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:09:24	921
63/242954	HTTPS	Server	READ_REQUEST	10.2.10.16	51101	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:09:14	241
89/242946	HTTPS	Server	READ_REQUEST	10.2.8.218	60365	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:09:08	595
17/242945	HTTPS	Server	READ_REQUEST	109.232.208.230	65313	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:09:07	525
12/242943	HTTPS	Server	READ_REQUEST	10.2.8.245	34388	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:09:07	1298
22/242902	HTTPS	Server	READ_REQUEST	10.1.8.132	58134	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:08:51	201
86/242901	HTTPS	Server	READ_REQUEST	10.1.8.132	58133	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:08:51	794
4/242900	HTTPS	Server	READ_REQUEST	10.1.8.132	58132	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:08:51	235
14/242872	HTTPS	Server	READ_REQUEST	10.2.33.230	60118	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:08:44	449
59/242871	HTTPS	Server	READ_REQUEST	10.2.33.230	60117	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:08:44	181
80/242842	HTTPS	Server	WRITE_RESPONSE	172.28.4.195	51232	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:08:37	741
40/242841	HTTPS	Server	READ_REQUEST	172.28.4.195	51231	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:08:37	668
64/242837	HTTPS	Server	READ_REQUEST	10.3.8.229	49426	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:08:31	1168
16/242836	HTTPS	Server	READ_REQUEST	10.3.8.229	49428	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:08:31	215
39/242834	HTTPS	Server	READ_REQUEST	10.3.8.229	49427	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:08:31	268
7/242822	HTTPS	Server	READ_REQUEST	172.28.4.195	51224	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:08:15	1376
56/242790	HTTPS	Server	READ_REQUEST	10.1.8.251	61145	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:07:31	515
74/242649	HTTPS	Server	READ_REQUEST	10.7.8.105	1580	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:04:48	675
13/242648	HTTPS	Server	READ_REQUEST	10.7.8.105	1578	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:04:48	890
48/242647	HTTPS	Server	READ_REQUEST	10.7.8.105	1579	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:04:48	1485
81/242539	HTTPS	Server	READ_REQUEST	10.2.8.245	34344	10.1.20.212	443	600 sec	60 sec	2019 10 10 16:02:26	575
